"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 18 20:48:31 ICT 2024","Thu Apr 18 20:48:31 ICT 2024","4","","Home Herokuapps Website: as user , i can acces Herokuapps A/B Testing Page","","","","",""
"passed","Thu Apr 18 20:48:07 ICT 2024","Thu Apr 18 20:48:07 ICT 2024","39","","Challenging DOM Page: I can click the blue button","","","","Then I can see the number at canvas is changging",""
"passed","Thu Apr 18 20:48:10 ICT 2024","Thu Apr 18 20:48:10 ICT 2024","1","","Checkboxes Page: I can click checkbox 1 and it will checked","","","","",""
"passed","Thu Apr 18 20:47:57 ICT 2024","Thu Apr 18 20:47:57 ICT 2024","1","","Challenging DOM Page: I can click delete the first row data","","","","",""
"passed","Thu Apr 18 21:55:05 ICT 2024","Thu Apr 18 21:55:09 ICT 2024","4529","","Checkboxes Page","","","","I can click checkbox 1 twice and it will back to unchecked",""
"passed","Thu Apr 18 20:48:37 ICT 2024","Thu Apr 18 20:48:41 ICT 2024","4007","","Home Herokuapps Website: as user , i can acces Herokuapps Challenging DOM Page","","","","When I click Challenging DOM menu at homepage",""
"failed","Thu Apr 18 20:48:12 ICT 2024","Thu Apr 18 20:48:13 ICT 2024","1010","","Broken Image Page: Verify second image","","","","Then I can see image 2 is not broken",""
"passed","Thu Apr 18 21:55:00 ICT 2024","Thu Apr 18 21:55:05 ICT 2024","4526","","Checkboxes Page","","","","I can click checkbox 2 and it will unchecked",""
"failed","Thu Apr 18 20:48:06 ICT 2024","Thu Apr 18 20:48:07 ICT 2024","726","","Broken Image Page: Verify first image","","","","Then I can see image 1 is not broken",""
"passed","Tue Apr 02 19:38:20 ICT 2024","Tue Apr 02 19:38:22 ICT 2024","1434","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","Given I am on the login page",""
"skipped","Thu Apr 18 21:54:50 ICT 2024","Thu Apr 18 21:54:50 ICT 2024","149","","Challenging DOM Page","","","","I can click edit the first row data",""
"passed","Thu Apr 18 20:48:25 ICT 2024","Thu Apr 18 20:48:25 ICT 2024","137","","Checkboxes Page: I can click checkbox 2 twice and it will back to checked","","","","And I click checkbox 2",""
"passed","Thu Apr 18 20:48:08 ICT 2024","Thu Apr 18 20:48:17 ICT 2024","8922","","Context Menu Page: I can right click the Context Menu and opening the alert","","","","And I click Context Menu menu at homepage",""
"passed","Thu Apr 18 21:55:35 ICT 2024","Thu Apr 18 21:55:39 ICT 2024","3974","","Home Herokuapps Website","","","","as user , i can acces Herokuapps Checkboxes Page",""
"passed","Tue Apr 02 19:38:22 ICT 2024","Tue Apr 02 19:38:23 ICT 2024","1164","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","When I login with foobar and barfoo",""
"passed","Thu Apr 18 21:54:50 ICT 2024","Thu Apr 18 21:55:04 ICT 2024","14884","","Add Remove Element Page","","","","I can add element",""
"passed","Thu Apr 04 23:46:14 ICT 2024","Thu Apr 04 23:46:14 ICT 2024","85","","Home Herokuapps Website: as user , i can acces Herokuapps homepage","","","","When I click A/B Testing menu at homepage",""
"passed","Thu Apr 18 20:48:24 ICT 2024","Thu Apr 18 20:48:24 ICT 2024","27","","Add Remove Element Page: I can add several element","","","","Then I will see 5 element is added",""
"failed","Thu Apr 18 21:55:01 ICT 2024","Thu Apr 18 21:55:06 ICT 2024","5112","","Broken Image Page","","","","Verify second image",""
"passed","Thu Apr 18 20:48:45 ICT 2024","Thu Apr 18 20:48:45 ICT 2024","1","","Home Herokuapps Website: as user , i can acces Herokuapps Checkboxes Page","","","","",""
"passed","Thu Apr 18 21:55:06 ICT 2024","Thu Apr 18 21:55:11 ICT 2024","4349","","Broken Image Page","","","","Verify first image",""
"passed","Thu Apr 18 20:48:42 ICT 2024","Thu Apr 18 20:48:42 ICT 2024","446","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","Given I am on the login page",""
"passed","Thu Apr 18 20:48:24 ICT 2024","Thu Apr 18 20:48:24 ICT 2024","1","","Add Remove Element Page: I can add several element","","","","",""
"passed","Thu Apr 18 20:47:57 ICT 2024","Thu Apr 18 20:48:06 ICT 2024","9240","","Challenging DOM Page: I can click the blue button","","","","When I click Challenging DOM menu at homepage",""
"failed","Thu Apr 04 23:46:14 ICT 2024","Thu Apr 04 23:46:14 ICT 2024","74","","Home Herokuapps Website: as user , i can acces Herokuapps homepage","","","","Then Verify i am at ABTesting page",""
"passed","Thu Apr 18 20:48:07 ICT 2024","Thu Apr 18 20:48:07 ICT 2024","3","","Challenging DOM Page: I can click the blue button","","","","",""
"passed","Thu Apr 18 20:48:18 ICT 2024","Thu Apr 18 20:48:18 ICT 2024","355","","Add Remove Element Page: I can delete added element","","","","When I click button 'Add Element'",""
"broken","Thu Apr 18 21:55:00 ICT 2024","Thu Apr 18 21:55:20 ICT 2024","19382","","Context Menu Page","","","","I can right click the Context Menu and opening the alert",""
"passed","Thu Apr 18 20:47:59 ICT 2024","Thu Apr 18 20:48:10 ICT 2024","10842","","Checkboxes Page: I can click checkbox 1 and it will checked","","","","And I click Checkboxes menu at homepage",""
"passed","Thu Apr 18 20:48:15 ICT 2024","Thu Apr 18 20:48:15 ICT 2024","30","","Checkboxes Page: I can click checkbox 2 and it will unchecked","","","","Then I can see checkbox 2 is not checked",""
"passed","Thu Apr 18 20:48:20 ICT 2024","Thu Apr 18 20:48:25 ICT 2024","4955","","Checkboxes Page: I can click checkbox 2 twice and it will back to checked","","","","And I click Checkboxes menu at homepage",""
"failed","Thu Apr 18 20:48:31 ICT 2024","Thu Apr 18 20:48:31 ICT 2024","83","","Home Herokuapps Website: as user , i can acces Herokuapps Add/Remove Element","","","","When I click Add/Remove Elements menu at homepage",""
"passed","Thu Apr 18 20:48:45 ICT 2024","Thu Apr 18 20:48:45 ICT 2024","34","","Home Herokuapps Website: as user , i can acces Herokuapps Checkboxes Page","","","","Then Verify i am at Checkboxes page",""
"passed","Thu Apr 18 20:48:42 ICT 2024","Thu Apr 18 20:48:42 ICT 2024","2","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","",""
"passed","Thu Apr 18 20:48:42 ICT 2024","Thu Apr 18 20:48:42 ICT 2024","6","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","When I login with foobar and barfoo",""
"passed","Tue Apr 02 19:38:08 ICT 2024","Tue Apr 02 19:38:20 ICT 2024","11955","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","When I login with tomsmith and SuperSecretPassword!",""
"failed","Tue Apr 02 19:38:08 ICT 2024","Tue Apr 02 19:38:20 ICT 2024","11913","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","Then I should see a flash message saying You logged into a secure area!",""
"passed","Thu Apr 04 23:46:14 ICT 2024","Thu Apr 04 23:46:14 ICT 2024","2","","Home Herokuapps Website: as user , i can acces Herokuapps homepage","","","","",""
"passed","Thu Apr 18 20:48:10 ICT 2024","Thu Apr 18 20:48:10 ICT 2024","176","","Checkboxes Page: I can click checkbox 1 and it will checked","","","","When I click checkbox 1",""
"failed","Thu Apr 18 21:55:09 ICT 2024","Thu Apr 18 21:55:18 ICT 2024","8787","","Home Herokuapps Website","","","","as user , i can acces Herokuapps A/B Testing Page",""
"passed","Thu Apr 18 20:48:41 ICT 2024","Thu Apr 18 20:48:41 ICT 2024","2","","Home Herokuapps Website: as user , i can acces Herokuapps Checkboxes Page","","","","Given I am on the home page",""
"skipped","Thu Apr 18 21:54:50 ICT 2024","Thu Apr 18 21:54:50 ICT 2024","243","","Challenging DOM Page","","","","I can get data of all column from the first row",""
"passed","Thu Apr 18 20:48:19 ICT 2024","Thu Apr 18 20:48:20 ICT 2024","148","","Checkboxes Page: I can click checkbox 1 twice and it will back to unchecked","","","","When I click checkbox 1",""
"passed","Thu Apr 18 20:48:42 ICT 2024","Thu Apr 18 20:48:42 ICT 2024","79","","Home Herokuapps Website: as user , i can acces Herokuapps Broken Image Page","","","","Then Verify i am at ContextMenu page",""
"failed","Tue Apr 02 20:16:34 ICT 2024","Tue Apr 02 20:16:34 ICT 2024","42","","Home Herokuapps Website: as user , i can acces Herokuapps homepage","","","","Then Verify i am at abTesting page",""
"passed","Thu Apr 18 20:48:18 ICT 2024","Thu Apr 18 20:48:18 ICT 2024","1","","Add Remove Element Page: I can delete added element","","","","",""
"passed","Thu Apr 18 20:48:18 ICT 2024","Thu Apr 18 20:48:23 ICT 2024","4927","","Add Remove Element Page: I can add several element","","","","When I click Add/Remove Elements menu at homepage",""
"passed","Thu Apr 18 20:48:23 ICT 2024","Thu Apr 18 20:48:24 ICT 2024","689","","Add Remove Element Page: I can add several element","","","","When I click button 'Add Element' for 5 times",""
"passed","Thu Apr 18 20:47:57 ICT 2024","Thu Apr 18 20:47:57 ICT 2024","2","","Challenging DOM Page: I can get data of all column from the first row","","","","",""
"passed","Thu Apr 18 21:55:24 ICT 2024","Thu Apr 18 21:55:36 ICT 2024","12303","","Home Herokuapps Website","","","","as user , i can acces Herokuapps Broken Image Page",""
"passed","Thu Apr 18 20:48:25 ICT 2024","Thu Apr 18 20:48:25 ICT 2024","32","","Checkboxes Page: I can click checkbox 2 twice and it will back to checked","","","","Then I can see checkbox 2 is checked",""
"passed","Thu Apr 18 20:48:06 ICT 2024","Thu Apr 18 20:48:07 ICT 2024","551","","Challenging DOM Page: I can click the blue button","","","","When I click the blue button",""
"passed","Tue Apr 02 20:16:34 ICT 2024","Tue Apr 02 20:16:35 ICT 2024","63","","Home Herokuapps Website: as user , i can acces Herokuapps homepage","","","","Given I am on the home page",""
"passed","Thu Apr 18 20:47:57 ICT 2024","Thu Apr 18 20:47:57 ICT 2024","17","","Challenging DOM Page: I can click the blue button","","","","Given I am on the home page",""
"passed","Thu Apr 18 20:48:20 ICT 2024","Thu Apr 18 20:48:20 ICT 2024","1","","Checkboxes Page: I can click checkbox 1 twice and it will back to unchecked","","","","",""
"passed","Thu Apr 18 20:48:17 ICT 2024","Thu Apr 18 20:48:17 ICT 2024","0","","Broken Image Page: Verify first image","","","","",""
"passed","Thu Apr 18 20:48:42 ICT 2024","Thu Apr 18 20:48:42 ICT 2024","2","","Home Herokuapps Website: as user , i can acces Herokuapps Broken Image Page","","","","",""
"passed","Thu Apr 18 20:47:57 ICT 2024","Thu Apr 18 20:47:57 ICT 2024","1","","Challenging DOM Page: I can click edit the first row data","","","","",""
"passed","Thu Apr 18 20:48:18 ICT 2024","Thu Apr 18 20:48:18 ICT 2024","7","","Add Remove Element Page: I can add several element","","","","Given I am on the home page",""
"passed","Thu Apr 18 20:48:31 ICT 2024","Thu Apr 18 20:48:31 ICT 2024","6","","Home Herokuapps Website: as user , i can acces Herokuapps Add/Remove Element","","","","Given I am on the home page",""
"passed","Thu Apr 18 20:48:10 ICT 2024","Thu Apr 18 20:48:15 ICT 2024","4976","","Checkboxes Page: I can click checkbox 2 and it will unchecked","","","","And I click Checkboxes menu at homepage",""
"passed","Thu Apr 18 20:48:41 ICT 2024","Thu Apr 18 20:48:41 ICT 2024","33","","Home Herokuapps Website: as user , i can acces Herokuapps Challenging DOM Page","","","","Then Verify i am at ChallengingDOM page",""
"passed","Thu Apr 18 20:48:41 ICT 2024","Thu Apr 18 20:48:45 ICT 2024","4625","","Home Herokuapps Website: as user , i can acces Herokuapps Checkboxes Page","","","","When I click Checkboxes menu at homepage",""
"passed","Thu Apr 18 20:48:28 ICT 2024","Thu Apr 18 20:48:37 ICT 2024","8653","","Home Herokuapps Website: as user , i can acces Herokuapps Broken Image Page","","","","When I click Broken Images menu at homepage",""
"passed","Thu Apr 18 21:54:50 ICT 2024","Thu Apr 18 21:54:59 ICT 2024","9779","","Challenging DOM Page","","","","I can click the blue button",""
"skipped","Thu Apr 18 20:48:13 ICT 2024","Thu Apr 18 20:48:13 ICT 2024","33","","Add Remove Element Page: I can add element","","","","Then I will see an element is added",""
"passed","Thu Apr 18 20:48:17 ICT 2024","Thu Apr 18 20:48:28 ICT 2024","10222","","Context Menu Page: I can right click the Context Menu and opening the alert","","","","When I right click the context menu",""
"passed","Thu Apr 18 20:48:15 ICT 2024","Thu Apr 18 20:48:15 ICT 2024","2","","Checkboxes Page: I can click checkbox 1 twice and it will back to unchecked","","","","Given I am on the home page",""
"passed","Thu Apr 18 20:48:20 ICT 2024","Thu Apr 18 20:48:20 ICT 2024","37","","Checkboxes Page: I can click checkbox 1 twice and it will back to unchecked","","","","Then I can see checkbox 1 is not checked",""
"broken","Thu Apr 18 20:48:28 ICT 2024","Thu Apr 18 20:48:28 ICT 2024","143","","Context Menu Page: I can right click the Context Menu and opening the alert","","","","Then I can see alert is opening",""
"passed","Wed Sep 18 22:29:23 ICT 2024","Wed Sep 18 22:29:30 ICT 2024","7035","","Home Herokuapps Website","","","","as user , i can acces Herokuapps Broken Image Page",""
"passed","Thu Apr 18 20:48:18 ICT 2024","Thu Apr 18 20:48:18 ICT 2024","19","","Home Herokuapps Website: as user , i can acces Herokuapps A/B Testing Page","","","","Given I am on the home page",""
"passed","Thu Apr 18 21:55:29 ICT 2024","Thu Apr 18 21:55:31 ICT 2024","1319","","The Internet Guinea Pig Website","","","","As a user, I can log into the secure area",""
"passed","Thu Apr 18 20:48:07 ICT 2024","Thu Apr 18 20:48:12 ICT 2024","4492","","Broken Image Page: Verify second image","","","","When I click Broken Images menu at homepage",""
"passed","Thu Apr 18 20:48:13 ICT 2024","Thu Apr 18 20:48:13 ICT 2024","2","","Add Remove Element Page: I can add element","","","","",""
"passed","Thu Apr 18 20:48:31 ICT 2024","Thu Apr 18 20:48:31 ICT 2024","2","","Home Herokuapps Website: as user , i can acces Herokuapps Add/Remove Element","","","","",""
"skipped","Thu Apr 18 21:54:50 ICT 2024","Thu Apr 18 21:54:50 ICT 2024","204","","Challenging DOM Page","","","","I can click delete the first row data",""
"passed","Thu Apr 18 20:48:15 ICT 2024","Thu Apr 18 20:48:19 ICT 2024","4366","","Checkboxes Page: I can click checkbox 1 twice and it will back to unchecked","","","","And I click Checkboxes menu at homepage",""
"passed","Thu Apr 18 20:48:41 ICT 2024","Thu Apr 18 20:48:42 ICT 2024","7","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","When I login with tomsmith and SuperSecretPassword!",""
"passed","Thu Apr 18 20:48:13 ICT 2024","Thu Apr 18 20:48:18 ICT 2024","4587","","Add Remove Element Page: I can delete added element","","","","When I click Add/Remove Elements menu at homepage",""
"passed","Thu Apr 18 20:48:15 ICT 2024","Thu Apr 18 20:48:15 ICT 2024","119","","Checkboxes Page: I can click checkbox 2 and it will unchecked","","","","When I click checkbox 2",""
"passed","Thu Apr 18 20:48:31 ICT 2024","Thu Apr 18 20:48:31 ICT 2024","80","","Home Herokuapps Website: as user , i can acces Herokuapps A/B Testing Page","","","","Then Verify i am at ABTesting page",""
"passed","Tue Apr 02 19:38:22 ICT 2024","Tue Apr 02 19:38:23 ICT 2024","1136","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","Then I should see a flash message saying Your username is invalid!",""
"passed","Thu Apr 18 20:48:42 ICT 2024","Thu Apr 18 20:48:42 ICT 2024","6","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","Then I should see a flash message saying You logged into a secure area!",""
"passed","Thu Apr 18 20:48:28 ICT 2024","Thu Apr 18 20:48:28 ICT 2024","4","","Context Menu Page: I can right click the Context Menu and opening the alert","","","","",""
"passed","Thu Apr 18 20:48:13 ICT 2024","Thu Apr 18 20:48:13 ICT 2024","208","","Add Remove Element Page: I can add element","","","","When I click button 'Add Element'",""
"passed","Thu Apr 18 21:55:31 ICT 2024","Thu Apr 18 21:55:35 ICT 2024","4243","","Home Herokuapps Website","","","","as user , i can acces Herokuapps Challenging DOM Page",""
"passed","Thu Apr 18 20:48:25 ICT 2024","Thu Apr 18 20:48:25 ICT 2024","1","","Checkboxes Page: I can click checkbox 2 twice and it will back to checked","","","","",""
"passed","Thu Apr 18 20:48:18 ICT 2024","Thu Apr 18 20:48:18 ICT 2024","31","","Add Remove Element Page: I can delete added element","","","","Then I will see list element is empty",""
"passed","Thu Apr 18 20:48:25 ICT 2024","Thu Apr 18 20:48:25 ICT 2024","132","","Checkboxes Page: I can click checkbox 2 twice and it will back to checked","","","","When I click checkbox 2",""
"passed","Tue Apr 02 20:16:34 ICT 2024","Tue Apr 02 20:16:35 ICT 2024","49","","Home Herokuapps Website: as user , i can acces Herokuapps homepage","","","","When I click A/B Testing menu at homepage",""
"passed","Thu Apr 18 20:48:13 ICT 2024","Thu Apr 18 20:48:13 ICT 2024","1","","Broken Image Page: Verify second image","","","","",""
"passed","Thu Apr 18 20:48:34 ICT 2024","Thu Apr 18 20:48:42 ICT 2024","7995","","Home Herokuapps Website: as user , i can acces Herokuapps Broken Image Page","","","","When I click Context Menu menu at homepage",""
"passed","Thu Apr 18 21:55:18 ICT 2024","Thu Apr 18 21:55:23 ICT 2024","4529","","Home Herokuapps Website","","","","as user , i can acces Herokuapps Add/Remove Element",""
"broken","Tue Apr 02 20:09:34 ICT 2024","Tue Apr 02 20:09:34 ICT 2024","27","","Home Herokuapps Website: as user , i can acces Herokuapps homepage","","","","Then Verify i am at abTeting page",""
"passed","Tue Apr 02 20:16:34 ICT 2024","Tue Apr 02 20:16:34 ICT 2024","3","","Home Herokuapps Website: as user , i can acces Herokuapps homepage","","","","",""
"passed","Thu Apr 18 21:55:09 ICT 2024","Thu Apr 18 21:55:15 ICT 2024","6027","","Add Remove Element Page","","","","I can add several element",""
"passed","Thu Apr 18 20:48:15 ICT 2024","Thu Apr 18 20:48:15 ICT 2024","0","","Checkboxes Page: I can click checkbox 2 and it will unchecked","","","","",""
"passed","Thu Apr 18 20:48:34 ICT 2024","Thu Apr 18 20:48:34 ICT 2024","7","","Home Herokuapps Website: as user , i can acces Herokuapps Broken Image Page","","","","Given I am on the home page",""
"passed","Thu Apr 18 20:48:10 ICT 2024","Thu Apr 18 20:48:10 ICT 2024","5","","Checkboxes Page: I can click checkbox 2 and it will unchecked","","","","Given I am on the home page",""
"passed","Thu Apr 18 20:48:41 ICT 2024","Thu Apr 18 20:48:41 ICT 2024","1","","Home Herokuapps Website: as user , i can acces Herokuapps Challenging DOM Page","","","","",""
"passed","Thu Apr 18 20:47:57 ICT 2024","Thu Apr 18 20:47:57 ICT 2024","18","","Add Remove Element Page: I can add element","","","","Given I am on the home page",""
"passed","Thu Apr 04 23:46:14 ICT 2024","Thu Apr 04 23:46:14 ICT 2024","97","","Home Herokuapps Website: as user , i can acces Herokuapps homepage","","","","Given I am on the home page",""
"passed","Thu Apr 18 20:48:37 ICT 2024","Thu Apr 18 20:48:37 ICT 2024","3","","Home Herokuapps Website: as user , i can acces Herokuapps Challenging DOM Page","","","","Given I am on the home page",""
"passed","Thu Apr 18 20:48:10 ICT 2024","Thu Apr 18 20:48:10 ICT 2024","43","","Checkboxes Page: I can click checkbox 1 and it will checked","","","","Then I can see checkbox 1 is checked",""
"passed","Thu Apr 18 20:48:13 ICT 2024","Thu Apr 18 20:48:17 ICT 2024","4294","","Broken Image Page: Verify first image","","","","When I click Broken Images menu at homepage",""
"passed","Thu Apr 18 20:47:59 ICT 2024","Thu Apr 18 20:47:59 ICT 2024","18","","Checkboxes Page: I can click checkbox 1 and it will checked","","","","Given I am on the home page",""
"passed","Tue Apr 02 19:38:23 ICT 2024","Tue Apr 02 19:38:23 ICT 2024","3","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","",""
"passed","Thu Apr 18 20:48:18 ICT 2024","Thu Apr 18 20:48:31 ICT 2024","12501","","Home Herokuapps Website: as user , i can acces Herokuapps A/B Testing Page","","","","When I click A/B Testing menu at homepage",""
"passed","Thu Apr 18 20:48:42 ICT 2024","Thu Apr 18 20:48:42 ICT 2024","8","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","Then I should see a flash message saying Your username is invalid!",""
"passed","Thu Apr 18 20:48:08 ICT 2024","Thu Apr 18 20:48:08 ICT 2024","15","","Context Menu Page: I can right click the Context Menu and opening the alert","","","","Given I am on the home page",""
"passed","Thu Apr 18 20:48:17 ICT 2024","Thu Apr 18 20:48:17 ICT 2024","47","","Broken Image Page: Verify first image","","","","Then I can see image 3 is not broken",""
"passed","Thu Apr 18 20:48:18 ICT 2024","Thu Apr 18 20:48:18 ICT 2024","226","","Add Remove Element Page: I can delete added element","","","","When I click first button 'Delete' the element will removed",""
"failed","Thu Apr 04 23:20:52 ICT 2024","Thu Apr 04 23:20:52 ICT 2024","62","","Home Herokuapps Website: as user , i can acces Herokuapps homepage","","","","Then Verify i am at abTesting page",""
"passed","Thu Apr 18 20:48:07 ICT 2024","Thu Apr 18 20:48:07 ICT 2024","28","","Broken Image Page: Verify second image","","","","Given I am on the home page",""
"passed","Thu Apr 18 21:54:50 ICT 2024","Thu Apr 18 21:55:00 ICT 2024","10525","","Checkboxes Page","","","","I can click checkbox 1 and it will checked",""
"passed","Thu Apr 18 20:47:57 ICT 2024","Thu Apr 18 20:48:13 ICT 2024","15743","","Add Remove Element Page: I can add element","","","","When I click Add/Remove Elements menu at homepage",""
"passed","Thu Apr 18 21:55:04 ICT 2024","Thu Apr 18 21:55:09 ICT 2024","4672","","Add Remove Element Page","","","","I can delete added element",""
"passed","Thu Apr 18 20:48:13 ICT 2024","Thu Apr 18 20:48:13 ICT 2024","3","","Broken Image Page: Verify first image","","","","Given I am on the home page",""
"skipped","Thu Apr 18 20:48:31 ICT 2024","Thu Apr 18 20:48:31 ICT 2024","4","","Home Herokuapps Website: as user , i can acces Herokuapps Add/Remove Element","","","","Then Verify i am at AddRemoveElements page",""
"passed","Thu Apr 18 20:48:20 ICT 2024","Thu Apr 18 20:48:20 ICT 2024","150","","Checkboxes Page: I can click checkbox 1 twice and it will back to unchecked","","","","And I click checkbox 1",""
"passed","Thu Apr 18 20:48:37 ICT 2024","Thu Apr 18 20:48:37 ICT 2024","42","","Home Herokuapps Website: as user , i can acces Herokuapps Broken Image Page","","","","Then Verify i am at BrokenImages page",""
"passed","Thu Apr 18 20:48:20 ICT 2024","Thu Apr 18 20:48:20 ICT 2024","3","","Checkboxes Page: I can click checkbox 2 twice and it will back to checked","","","","Given I am on the home page",""
"passed","Thu Apr 18 21:55:09 ICT 2024","Thu Apr 18 21:55:15 ICT 2024","5461","","Checkboxes Page","","","","I can click checkbox 2 twice and it will back to checked",""
"passed","Thu Apr 18 20:48:13 ICT 2024","Thu Apr 18 20:48:13 ICT 2024","3","","Add Remove Element Page: I can delete added element","","","","Given I am on the home page",""
